recall,precision
0.062279,0.293823
0.056263,0.289091
0.053432,0.301397
0.048478,0.303097
0.043524,0.305211
0.03857,0.30791
0.032555,0.301639
0.027955,0.308594
0.023355,0.318841
0.018754,0.335443
0.014508,0.376147
0.007785,0.366667
0.002123,0.545455
