key,value
m04.ols.cv_r2_mean,0.0583936
m04.ols.cv_r2_sd,0.0929707
m04.ols.f_p_value,8.609e-09
m04.ols.f_statistic,10.0668
m04.ols.r2_train_adjusted,0.15145
m04.ols.r2_train_insample,0.168154
m04.ols.residual_jarque_bera,113.078
m04.ols.residual_jarque_bera_p,2.789e-25
m04.ols.residual_skew,1.13521
m04.ols.test_mae,2.45755
m04.ols.test_mean_observed,3.25
m04.ols.test_r2,0.215867
m04.ols.test_rmse,3.09911
m04.ols.test_rows,86
m04.ols.test_sd_observed,3.52032
m04.ols.train_mae,2.31533
m04.ols.train_mean_observed,3.49216
m04.ols.train_r2,0.168154
m04.ols.train_rmse,2.98941
m04.ols.train_rows,255
m04.ols.train_sd_observed,3.28411
m04.repeats.count,20
m04.repeats.r2_at_primary_seed,0.215867
m04.repeats.r2_max,0.253491
m04.repeats.r2_mean,0.136018
m04.repeats.r2_min,-0.156678
m04.repeats.r2_sd,0.0984004
m04.rows_analyzed,341
m04.rows_duplicated,4
m04.rows_released,345
m04.selector_distinct_values,2
m04.split.rows_on_both_sides,0
m04.split.test_fraction,0.2522
m04.split.test_rows,86
m04.split.train_rows,255
pipeline.figures,12
timing.m01,1859.6
timing.m02,4.7
timing.m03,2.5
timing.m04,2.5
timing.pipeline,1873.7
