false_positive_rate,true_positive_rate
0.866175,0.953999
0.869172,0.955768
0.872861,0.957537
0.878026,0.958953
0.883099,0.960722
0.886604,0.962137
0.889832,0.96426
0.895089,0.96603
0.899377,0.967799
0.90136,0.969214
0.903758,0.970984
0.908278,0.972753
0.912336,0.974522
0.915794,0.975938
0.920267,0.977707
0.925017,0.979122
0.928061,0.980892
0.934379,0.982307
0.937007,0.984076
0.947844,0.985492
0.954208,0.987261
0.960526,0.988677
0.963246,0.990446
0.96795,0.991861
0.976666,0.993631
0.980263,0.995046
0.987872,0.996815
0.992714,0.998231
0.997971,1.0
